ticker,ticker_full,name,stage,commodities,listing_date,status,covers_listing,price_predates_listing,days_price_before_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_26aug2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
10X,10X.AX,EXULTANT MINING LIMITED,Explorer,Gold | Silver | Copper | Nickel | Zinc | Lithium,2025-12-11,ok,True,False,0,2025-12-11,2026-09-02,183,4,False,1.0,0,0.0,398200.0,4675000.0,0.185,0.175,0.185,0.2,0.17,,,,,,,,0.16,-0.0541,0.0,0.0811,-0.0811,,,,,,,,-0.1351
1AE,1AE.AX,AURORA ENERGY METALS LIMITED,Explorer,Lithium | Uranium,2022-05-18,ok,True,False,0,2022-05-18,2026-09-02,1088,7,False,1.0,0,0.0,5961345.0,9669442.0,0.296,0.285,0.24,0.255,0.215,0.09,0.082,0.074,,,,,0.056,-0.0372,-0.1892,-0.1385,-0.2736,-0.6959,-0.723,-0.75,,,,,-0.8108
1MC,1MC.AX,MORELLA CORPORATION LIMITED,Explorer,Lithium,2001-01-08,ok,True,False,0,2001-01-08,2026-09-02,6520,11,True,0.04,1,0.1311,95720.0,13252632.0,2.8215,2.7771,3.0856,2.3451,2.5919,2.4685,1.9015,1.9671,4.1071,3.7232,3.583,1.2857,0.03,-0.0157,0.0936,-0.1688,-0.0814,-0.1251,-0.3261,-0.3028,0.4556,0.3196,0.2699,-0.5443,-0.9894
29M,29M.AX,29METALS LIMITED,Producer,Gold | Silver | Copper | Lead | Zinc,2021-07-02,ok,True,False,0,2021-07-02,2026-09-02,1309,8,False,1.0,0,0.016,5737702.0,595026025.0,1.9701,2.003,2.2933,2.2159,2.8836,1.5918,0.8482,0.43,0.255,,,,0.345,0.0167,0.1641,0.1248,0.4637,-0.192,-0.5695,-0.7817,-0.8706,,,,-0.8249
49M,49M.AX,49 METALS LIMITED,Explorer,Gold,2026-03-31,ok,True,False,0,2026-03-31,2026-09-02,109,3,False,1.0,0,0.0,473680.0,9457215.0,0.178,0.175,0.155,0.094,,,,,,,,,0.12,-0.0169,-0.1292,-0.4719,,,,,,,,,-0.3258
6KA,6KA.AX,"6K ADDITIVE, INC.",Producer,Nickel,2025-12-04,ok,True,False,0,2025-12-04,2026-09-02,188,4,False,1.0,0,0.0,2160972.0,223168438.0,0.882,0.95,0.835,0.805,0.655,,,,,,,,0.82,0.0771,-0.0533,-0.0873,-0.2574,,,,,,,,-0.0703
A11,A11.AX,ATLANTIC LITHIUM LIMITED,Explorer,Lithium,2022-09-26,ok,True,False,0,2022-09-26,2026-09-02,997,7,False,1.0,0,0.0,1232853.0,236443471.0,0.61,0.61,0.585,0.575,0.46,0.455,0.24,0.19,,,,,0.305,0.0,-0.041,-0.0574,-0.2459,-0.2541,-0.6066,-0.6885,,,,,-0.5
A1M,A1M.AX,AIC MINES LIMITED,Producer,Gold | Silver | Copper | Nickel,1993-11-04,no price near listing,False,False,-7516,2014-06-03,2026-09-02,3104,0,True,0.05,1,5.4851,,646072055.0,,,,,,,,,,,,,0.835,,,,,,,,,,,,
A4N,A4N.AX,ALPHA HPA LIMITED,Developer,Lithium | Cobalt,2007-10-22,ok,True,False,0,2007-10-22,2026-09-02,4772,11,False,1.0,0,0.0,498184.0,791283533.0,0.1438,0.1391,0.1126,0.1126,0.0464,0.0285,0.0582,0.2327,0.0388,0.0223,0.063,0.43,0.64,-0.0327,-0.217,-0.217,-0.6773,-0.8018,-0.5953,0.6182,-0.7302,-0.8449,-0.5619,1.9903,3.4506
A8G,A8G.AX,AUSTRALASIAN METALS LIMITED,Explorer,Gold | Lithium | Bauxite Alumina,2021-05-13,ok,True,False,0,2021-05-13,2026-09-02,1344,8,False,1.0,0,0.0,504740.0,5557414.0,0.169,0.17,0.17,0.14,0.7,0.355,0.145,0.071,0.085,,,,0.1,0.0059,0.0059,-0.1716,3.142,1.1006,-0.142,-0.5799,-0.497,,,,-0.4083
AA2,AA2.AX,ARIANA RESOURCES PLC,Explorer,Gold | Silver | Copper | Nickel | Molybdenum | Zinc,2025-09-10,ok,True,False,0,2025-09-10,2026-09-02,249,4,False,1.0,0,0.0,1137814.0,86133743.0,0.288,0.39,0.35,0.29,0.335,,,,,,,,0.275,0.3542,0.2153,0.0069,0.1632,,,,,,,,-0.0451
AAI,AAI.AX,ALCOA CORPORATION,Producer,Bauxite Alumina,2024-07-24,ok,True,False,0,2024-07-24,2026-09-02,536,6,False,1.0,0,1.1288,92970.0,18310037294.0,49.6566,48.3677,47.8403,61.3216,63.3329,48.6768,64.146,,,,,,70.82,-0.026,-0.0366,0.2349,0.2754,-0.0197,0.2918,,,,,,0.4262
AAJ,AAJ.AX,ARUMA RESOURCES LIMITED,Explorer,Gold | Copper | Rare Earths | Lithium | Uranium,2010-07-23,no price near listing,False,False,-132,2010-12-02,2026-09-02,3982,8,True,0.0667,1,0.0,,5025801.0,,,,,1.792,1.28,0.896,0.4096,0.1024,0.105,0.06,0.008,0.006,,,,,,,,,,,,
AAM,AAM.AX,AUMEGA METALS LTD,Explorer,Gold | Silver | Copper | Lead | Zinc,2017-03-08,ok,True,False,0,2017-03-08,2026-09-02,2402,9,False,1.0,0,0.0,35720.0,58220292.0,0.248,0.23,0.22,0.21,0.22,0.26,0.2,0.15,0.275,0.043,,,0.035,-0.0726,-0.1129,-0.1532,-0.1129,0.0484,-0.1935,-0.3952,0.1089,-0.8266,,,-0.8589
AAR,AAR.AX,ASTRAL RESOURCES NL,Explorer,Gold,1986-11-13,no price near listing,False,False,-442,1988-01-29,2026-09-02,9893,6,True,0.0965,4,0.0,,351203893.0,,,,,,,1.8348,1.0193,1.9608,1.0406,1.0331,0.1968,0.195,,,,,,,,,,,,
AAU,AAU.AX,ANTILLES GOLD LIMITED,Explorer,Gold | Silver | Copper | Antimony,1993-11-25,ok,True,True,2127,1988-01-29,2026-09-02,9896,11,True,0.05,2,0.0,0.0,26232746.0,16.5965,16.1655,16.1655,17.2432,19.5782,19.3986,10.777,15.2674,9.8789,2.8739,2.7841,0.6736,0.01,-0.026,-0.026,0.039,0.1797,0.1688,-0.3506,-0.0801,-0.4048,-0.8268,-0.8322,-0.9594,-0.9994
ABR,ABR.AX,ALBRIGHT METALS LTD,Explorer,Gold | Copper | Nickel | Manganese | Antimony,2017-10-17,ok,True,False,0,2017-10-17,2026-09-02,2247,9,False,1.0,0,0.0,221469.0,4661367.0,0.2192,0.2123,0.1827,0.1728,0.1234,0.1086,0.0553,0.0622,0.0227,0.004,,,0.002,-0.0315,-0.1665,-0.2117,-0.437,-0.5046,-0.7477,-0.7162,-0.8964,-0.9818,,,-0.9909
ABX,ABX.AX,ABX GROUP LIMITED,Explorer,Rare Earths | Bauxite Alumina,2009-12-24,ok,True,False,0,2009-12-24,2026-09-02,4219,11,False,1.0,0,0.0,875311.0,13871964.0,0.382,0.37,0.35,0.38,0.325,0.67,0.365,0.3,0.3,0.18,0.12,0.032,0.038,-0.0314,-0.0838,-0.0052,-0.1492,0.7539,-0.0445,-0.2147,-0.2147,-0.5288,-0.6859,-0.9162,-0.9005
ACM,ACM.AX,AUSTRALIAN CRITICAL MINERALS LIMITED,Explorer,Gold | Silver | Copper | Iron | Lithium | Uranium,2023-07-03,ok,True,False,0,2023-07-03,2026-09-02,805,7,False,1.0,0,0.0,471741.0,4049498.0,0.211,0.215,0.19,0.305,0.13,0.081,0.056,0.034,,,,,0.025,0.019,-0.0995,0.4455,-0.3839,-0.6161,-0.7346,-0.8389,,,,,-0.8815
ACP,ACP.AX,AUDALIA RESOURCES LIMITED,Explorer,Iron | Vanadium,2011-07-06,ok,True,False,0,2011-07-06,2026-09-02,3837,11,False,1.0,0,0.0,160774.0,19296996.0,0.0943,0.093,0.0908,0.0886,0.0886,0.093,0.1107,0.0554,0.031,0.009,0.022,0.025,0.022,-0.0138,-0.0371,-0.0604,-0.0604,-0.0138,0.1739,-0.4125,-0.6713,-0.9046,-0.7667,-0.7349,-0.7667
ACS,ACS.AX,ACCENT RESOURCES NL,Explorer,Gold | Iron,2005-08-26,ok,True,False,1,2005-08-25,2026-09-03,5319,11,False,1.0,0,0.0,104040.0,112593575.0,0.185,0.185,0.195,0.19,0.16,0.16,0.17,0.27,0.245,0.27,0.14,0.012,0.265,0.0,0.0541,0.027,-0.1351,-0.1351,-0.0811,0.4595,0.3243,0.4595,-0.2432,-0.9351,0.4324
ADC,ADC.AX,ACDC METALS LTD,Explorer,Rare Earths | Mineral Sands,2023-01-17,ok,True,False,0,2023-01-17,2026-09-02,919,7,False,1.0,0,0.0,482485.0,5286346.0,0.196,0.185,0.17,0.1,0.084,0.069,0.052,0.063,,,,,0.046,-0.0561,-0.1327,-0.4898,-0.5714,-0.648,-0.7347,-0.6786,,,,,-0.7653
ADN,ADN.AX,ANDROMEDA METALS LIMITED,Explorer,Bauxite Alumina,1996-09-17,no price near listing,False,False,-13,1996-09-30,2026-09-03,7635,11,True,0.1,1,0.0009,,32365434.0,,1.9296,1.9296,3.0699,3.5084,1.4034,0.6315,0.3552,0.0334,0.1608,0.3345,0.0598,0.005,,,,,,,,,,,,
ADY,ADY.AX,ADMIRALTY RESOURCES NL.,Explorer,Nickel | Iron | Cobalt,1983-12-01,no price near listing,False,False,-1520,1988-01-29,2026-09-02,9730,4,True,0.0102,5,0.0,,,,,,,,,,,16.2647,1.2199,2.0331,0.1186,0.006,,,,,,,,,,,,
AEM,AEM.AX,ADVANCED ENGINEERED MATERIALS LTD,Explorer,Bauxite Alumina,2025-12-24,ok,True,False,0,2025-12-24,2026-09-03,175,4,False,1.0,0,0.0,1347268.0,218116200.0,0.582,0.565,0.65,0.42,0.46,,,,,,,,0.34,-0.0292,0.1168,-0.2784,-0.2096,,,,,,,,-0.4158
AEU,AEU.AX,ATOMIC EAGLE LTD,Producer,Uranium,2004-11-22,no price near listing,False,False,-6534,2022-10-13,2026-09-03,985,0,True,0.04,1,0.07,,220403584.0,,,,,,,,,,,,,0.52,,,,,,,,,,,,
AEV,AEV.AX,AVENIRA LIMITED,Explorer,Gold | Phosphate,2006-10-10,ok,True,False,1,2006-10-09,2026-09-03,5035,11,False,1.0,0,0.0,375629.0,32580538.0,0.1542,0.1329,0.1329,0.1285,0.1507,0.2038,0.5317,0.3501,0.3102,0.1196,0.1772,0.0078,0.007,-0.1381,-0.1381,-0.1667,-0.0227,0.3217,2.4481,1.2704,1.0117,-0.2244,0.1492,-0.9494,-0.9546
