Co_ID,Exchange,Name,ticker,mcap,shares,Sector,"Sub
Sector",hq_location,hq_region,Listing Type,Listing Date,Interlisted I,Interlisted II,"Trading 
on OTC","TSX 
Venture 
Grad","Former
CPC",S&P/TSX Index,2025 TSX30,Clean Technology Primary Industry,Clean Technology Sub-Sector,"Consumer Products & Services
Sub-Sector",Life Sciences Sub-Sector,Real Estate Sub-Sector ,Technology Sub-Sector ,USA City,Asia Region,Israel Related,Fund Family/Issuing Entity,SP_Type,SP_Sub,vol_ytd,value_ytd,trades_ytd,months,board,turnover,px,avg_trade,lyear,yrs,PO ID,Sub-Sector,Interlisted,Trading on OTC,"CPC/
Former
CPC","S&P/TSX Venture 
Composite Index",2026 Venture 50,Cleantech Sub-Sector,Real Estate Sub-Sector,Technology Sub-Sector,Trust
V-01325,TSX,AbraSilver Resource Corp.,ABRA,2303393480.55,160963905,Mining,,ON,Canada,TSXV Grad,20250227.0,,,OTCQX,Y,,Composite,,,,,,,,,,,,,,97350410.0,1373045059.0,429185.0,6.0,TSX,0.5960966159686042,14.31,3199.19162831879,2025.0,1.0,,,,,,,,,,,
ACL0001,TSX,Aclara Resources Inc.,ARA,1015898463.64,246577297,Mining,,Chile,Latin America,IPO,20211210.0,,,,,,,,,,,,,,,,,,,,21877310.0,84186909.5,76394.0,6.0,TSX,0.08286941314819528,4.12,1102.009444458989,2021.0,5.0,,,,,,,,,,,
AGN0001,TSX,Agnico Eagle Mines Limited,AEM,111855278192.32,528326164,Mining,,ON,Canada,,19571227.0,NYSE,,,,,60,,,,,,,,,,,,,,131507808.0,34524303849.0,689059.0,6.0,TSX,0.3086515398016367,211.71633323145437,50103.55259709256,1957.0,69.0,,,,,,,,,,,
ALA0001,TSX,Alamos Gold Inc.,AGI,18026193873.0,419213811,Mining,,ON,Canada,TSXV Grad,20040621.0,NYSE,,,Y,Y,Composite,Y,,,,,,,,,,,,,146443660.0,8238713655.0,804428.0,6.0,TSX,0.4570412208502935,43.0,10241.70423580482,2004.0,22.0,,,,,,,,,,,
X-1188,TSX,Alkane Resources Limited,ALK,1885362652.98,1366204821,Mining,,Australia,Australia/NZ/PNG,Other,20250807.0,ASX,,,,,,,,,,,,,,,,,,,115781325.0,171704837.0,143543.0,6.0,TSX,0.09107257785583252,1.3800000000000001,1196.1909462669723,2025.0,1.0,,,,,,,,,,,
ALL0026,TSX,Allied Gold Corporation,AAUC,4432019234.1,127620683,Mining,,ON,Canada,Other,20230911.0,NYSE,,,,,Composite,,,,,,,,,,,,,,145819831.0,5881859038.0,578363.0,6.0,TSX,1.3271284999724093,34.72806389932892,10169.839768449918,2023.0,3.0,,,,,,,,,,,
ALM0005,TSX,Almonty Industries Inc.,AII,6696690360.12,285451422,Mining,,MT,USA,TSXV Grad,20180601.0,NasdaqCM,ASX,,Y,Y,,Y,,,,,,,Dillon,,,,,,106747139.0,2425879129.0,555210.0,6.0,TSX,0.36225045485849966,23.46,4369.300136885143,2018.0,8.0,,,,,,,,,,,
ALT0013,TSX,Altius Minerals Corporation,ALS,3540698682.56,55741478,Mining,,NL,Canada,TSXV Grad,20070115.0,,,OTCQX,Y,Y,Composite,,,,,,,,,,,,,,29150260.0,1498063474.5,189581.0,6.0,TSX,0.42309826641810383,63.519999999999996,7901.970527109785,2007.0,19.0,,,,,,,,,,,
SCO0013,TSX,Americas Gold and Silver Corporation,USA,2264878550.77,337537787,Mining,,ON,Canada,TSXV Grad,20061018.0,NYSE Mkt,,,Y,,Composite,,,,,,,,,,,,,,229570211.0,2080177625.0,810677.0,6.0,TSX,0.918449964698016,6.71,2565.9758757186896,2006.0,20.0,,,,,,,,,,,
AME0021,TSX,Amerigo Resources Ltd.,ARG,992863161.72,161704098,Mining,,BC,Canada,TSXV Grad,20040323.0,,,OTCQX,Y,,,,,,,,,,,,,,,,120341529.0,704432021.5,376795.0,6.0,TSX,0.7094955766912205,6.140000000000001,1869.536542416964,2004.0,22.0,,,,,,,,,,,
