co_id,ticker_full,ticker,name,name_normalised,board,isin,cusip,sedar_issuer_no,former_names,commodities,commodity_count,is_polymetallic,company_type,is_royalty_streamer,no_disclosed_commodity,property_regions,property_jurisdictions,property_region_count,jurisdiction_count,hq_matches_property,no_disclosed_property,shell_like,stage,incorporation_jurisdiction,mcap,shares,px,size_band,value_ytd,vol_ytd,trades_ytd,months,turnover,turnover_pctile,turnover_pctile_in_band,attention_ratio,avg_trade,dormant,hq_location,hq_region,listing_type,listing_date_iso,days_listed,lyear,yrs,exchange,sector,listing_date,interlisted_2,tsxv_grad,po_id,interlisted,otc_tier,cpc_flag,index_member,annual_list,comm_oil_and_gas,comm_gold,comm_silver,comm_copper,comm_nickel,comm_diamond,comm_molybdenum,comm_platinum_pgm,comm_iron,comm_lead,comm_zinc,comm_rare_earths,comm_potash,comm_lithium,comm_uranium,comm_coal,comm_tungsten,comm_base_precious_metals,comm_royalty_streaming,comm_other_properties,prop_africa,prop_asia,prop_aus_nz_png,prop_canada,prop_latin_america,prop_other,prop_uk_europe,prop_usa,enrich_source,data_asof,properties_asof
V-01325,ABRA.TO,ABRA,AbraSilver Resource Corp.,abrasilver resource,TSX,,,,,Gold | Silver,2,True,Operator,False,False,LATIN AMERICA,Argentina,1,1,False,False,False,,,2303393480.55,160963905,14.31,>2B,1373045059.0,97350410.0,429185.0,6.0,0.5960966159686042,92.16241737488197,72.46376811594203,1.5147760827159993,3199.19162831879,False,ON,Canada,TSXV Grad,2025-02-27,488.0,2025.0,1.0,TSX,Mining,20250227.0,,Y,,,OTCQX,,Composite,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
ACL0001,ARA.TO,ARA,Aclara Resources Inc.,aclara resources,TSX,,,,,Rare Earths,1,False,Operator,False,False,LATIN AMERICA,Brazil | Chile,1,2,True,False,False,,,1015898463.64,246577297,4.12,500M-2B,84186909.5,21877310.0,76394.0,6.0,0.0828694131481952,29.178470254957507,17.72151898734177,0.2105843275449972,1102.009444458989,False,Chile,Latin America,IPO,2021-12-10,1663.0,2021.0,5.0,TSX,Mining,20211210.0,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
AGN0001,AEM.TO,AEM,Agnico Eagle Mines Limited,agnico eagle mines,TSX,,,,,Gold | Silver | Copper,3,True,Operator,False,False,CANADA | UK/EUROPE,NU | ON | Finland,2,3,True,False,False,,,111855278192.32,528326164,211.7163332314544,>2B,34524303849.0,131507808.0,689059.0,6.0,0.3086515398016367,74.31539187913125,31.88405797101449,0.7843325358008897,50103.55259709256,False,ON,Canada,,1957-12-27,25022.0,1957.0,69.0,TSX,Mining,19571227.0,,,,NYSE,,,60,,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,2026-06-30,2026-07-31
ALA0001,AGI.TO,AGI,Alamos Gold Inc.,alamos gold,TSX,,,,,Gold | Silver,2,True,Operator,False,False,CANADA | LATIN AMERICA | UK/EUROPE | USA,MB | ON | QC | Mexico | Turkiye | OR,4,6,True,False,False,,,18026193873.0,419213811,43.0,>2B,8238713655.0,146443660.0,804428.0,6.0,0.4570412208502935,86.87440982058547,53.62318840579711,1.1614142600598305,10241.70423580482,False,ON,Canada,TSXV Grad,2004-06-21,8044.0,2004.0,22.0,TSX,Mining,20040621.0,,Y,,NYSE,,Y,Composite,Y,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,2026-06-30,2026-07-31
X-1188,ALK.TO,ALK,Alkane Resources Limited,alkane resources,TSX,,,,,Gold,1,False,Operator,False,False,AUS/NZ/PNG | UK/EUROPE,Australia | Sweden,2,2,True,False,False,,,1885362652.98,1366204821,1.38,500M-2B,171704837.0,115781325.0,143543.0,6.0,0.0910725778558325,32.10576015108593,18.9873417721519,0.23142987064796855,1196.1909462669723,False,Australia,Australia/NZ/PNG,Other,2025-08-07,327.0,2025.0,1.0,TSX,Mining,20250807.0,,,,ASX,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,,2026-06-30,2026-07-31
ALL0026,AAUC.TO,AAUC,Allied Gold Corporation,allied gold,TSX,,,,,Gold,1,False,Operator,False,False,AFRICA,Cote D'Ivoire | Ethopia | Mali,1,3,False,False,False,,,4432019234.1,127620683,34.72806389932892,>2B,5881859038.0,145819831.0,578363.0,6.0,1.3271284999724091,99.6222851746931,100.0,3.3724440914370946,10169.839768449918,False,ON,Canada,Other,2023-09-11,1023.0,2023.0,3.0,TSX,Mining,20230911.0,,,,NYSE,,,Composite,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,2026-06-30,2026-07-31
ALM0005,AII.TO,AII,Almonty Industries Inc.,almonty industries,TSX,,,,,,0,False,Operator,False,True,,,0,0,False,True,True,,,6696690360.12,285451422,23.46,>2B,2425879129.0,106747139.0,555210.0,6.0,0.3622504548584996,78.47025495750708,39.130434782608695,0.9205358834003983,4369.300136885143,False,MT,USA,TSXV Grad,2018-06-01,2951.0,2018.0,8.0,TSX,Mining,20180601.0,ASX,Y,,NasdaqCM,,Y,,Y,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,2026-06-30,2026-07-31
ALT0013,ALS.TO,ALS,Altius Minerals Corporation,altius minerals,TSX,,,,,Gold | Copper | Nickel | Iron | Zinc | Potash | Lithium | Uranium,8,True,Royalty/Streamer,True,False,,,0,0,False,True,False,,,3540698682.56,55741478,63.52,>2B,1498063474.5,29150260.0,189581.0,6.0,0.4230982664181038,83.85269121813032,44.927536231884055,1.0751598271822784,7901.970527109785,False,NL,Canada,TSXV Grad,2007-01-15,7106.0,2007.0,19.0,TSX,Mining,20070115.0,,Y,,,OTCQX,Y,Composite,,False,True,False,True,True,False,False,False,True,False,True,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,,2026-06-30,2026-07-31
SCO0013,USA.TO,USA,Americas Gold and Silver Corporation,americas gold and silver,TSX,,,,,Silver,1,False,Operator,False,False,LATIN AMERICA | USA,Mexico | ID | NV,2,3,False,False,False,,,2264878550.77,337537787,6.71,>2B,2080177625.0,229570211.0,810677.0,6.0,0.918449964698016,98.30028328611898,95.65217391304348,2.3339270890428674,2565.9758757186896,False,ON,Canada,TSXV Grad,2006-10-18,7195.0,2006.0,20.0,TSX,Mining,20061018.0,,Y,,NYSE Mkt,,,Composite,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,2026-06-30,2026-07-31
AME0021,ARG.TO,ARG,Amerigo Resources Ltd.,amerigo resources,TSX,,,,,Copper,1,False,Operator,False,False,LATIN AMERICA,Chile,1,1,False,False,False,,,992863161.72,161704098,6.140000000000001,500M-2B,704432021.5,120341529.0,376795.0,6.0,0.7094955766912205,95.75070821529745,96.20253164556962,1.80294083471405,1869.536542416964,False,BC,Canada,TSXV Grad,2004-03-23,8134.0,2004.0,22.0,TSX,Mining,20040323.0,,Y,,,OTCQX,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,2026-06-30,2026-07-31
