co_id,ticker_full,name,board,commodities,listing_date,status,covers_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_30jun2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
V-01325,ABRA.TO,AbraSilver Resource Corp.,TSX,Gold | Silver,2025-02-27,ok,True,2024-05-22,2026-08-25,568.0,5.0,False,1.0,0.0,0.0,191380.0,2303393480.55,3.038,3.31,3.17,4.07,6.33,17.61,,,,,,,16.16,0.0895,0.0434,0.3397,1.0836,4.7966,,,,,,,4.3193
ACL0001,ARA.TO,Aclara Resources Inc.,TSX,Rare Earths,2021-12-10,ok,True,2021-12-10,2026-08-25,1180.0,7.0,False,1.0,0.0,0.0,1614700.0,1015898463.64,1.518,1.3,1.5,1.25,0.465,0.265,0.4,0.43,,,,,3.97,-0.1436,-0.0119,-0.1765,-0.6937,-0.8254,-0.7365,-0.7167,,,,,1.6153
AGN0001,AEM.TO,Agnico Eagle Mines Limited,TSX,Gold | Silver | Copper,1957-12-27,no price near listing,False,1995-01-12,2026-08-25,7946.0,0.0,False,1.0,0.0,18.577,,111855278192.32,,,,,,,,,,,,,309.98,,,,,,,,,,,,
ALA0001,AGI.TO,Alamos Gold Inc.,TSX,Gold | Silver,2004-06-21,ok,True,2003-10-09,2026-08-25,5744.0,11.0,False,1.0,0.0,1.852,41460.0,18026193873.0,1.9766,1.7707,1.8405,2.1371,3.2711,3.4978,7.4144,4.5969,7.9378,12.9936,10.149,6.8922,53.94,-0.1042,-0.0689,0.0812,0.6549,0.7696,2.7511,1.3257,3.0159,5.5737,4.1346,2.4869,26.2893
X-1188,ALK.TO,Alkane Resources Limited,TSX,Gold,2025-08-07,ok,True,2025-08-07,2026-08-25,264.0,5.0,False,1.0,0.0,0.0,2135820.0,1885362652.98,0.724,0.74,1.02,0.88,1.48,1.55,,,,,,,1.88,0.0221,0.4088,0.2155,1.0442,1.1409,,,,,,,1.5967
ALL0026,AAUC.TO,Allied Gold Corporation,TSX,Gold,2023-09-11,ok,True,2023-09-11,2026-08-25,743.0,6.0,True,0.3333,1.0,0.0,2340.0,4432019234.1,16.02,15.15,12.3,11.55,9.9,8.58,21.47,,,,,,32.88,-0.0543,-0.2322,-0.279,-0.382,-0.4644,0.3402,,,,,,1.0524
ALM0005,AII.TO,Almonty Industries Inc.,TSX,,2018-06-01,no price near listing,False,2026-07-17,2026-07-17,1.0,0.0,False,1.0,0.0,0.0,,6696690360.12,,,,,,,,,,,,,19.25,,,,,,,,,,,,
ALT0013,ALS.TO,Altius Minerals Corporation,TSX,Gold | Copper | Nickel | Iron | Zinc | Potash | Lithium | Uranium,2007-01-15,ok,True,2003-03-19,2026-08-25,5885.0,11.0,False,1.0,0.0,2.7,28340.0,3540698682.56,8.9266,8.7779,8.3249,11.9831,18.4106,21.4021,4.2992,6.9232,9.6754,11.684,10.9042,16.11,67.33,-0.0167,-0.0674,0.3424,1.0624,1.3976,-0.5184,-0.2244,0.0839,0.3089,0.2215,0.8047,6.5426
SCO0013,USA.TO,Americas Gold and Silver Corporation,TSX,Silver,2006-10-18,ok,True,2000-02-22,2026-08-25,6658.0,11.0,True,0.0333,2.0,0.0,5077.0,2264878550.77,35.82,36.3,44.4,45.6,59.7,40.8,12.9,21.3,60.0,7.8,9.3,2.6,7.75,0.0134,0.2395,0.273,0.6667,0.139,-0.6399,-0.4054,0.675,-0.7822,-0.7404,-0.9274,-0.7836
AME0021,ARG.TO,Amerigo Resources Ltd.,TSX,Copper,2004-03-23,ok,True,2002-03-11,2026-08-25,6143.0,11.0,False,1.0,0.0,1.495,129220.0,992863161.72,1.0369,0.9782,0.8559,0.8217,0.807,1.1102,1.3559,1.3586,0.2837,0.7033,0.2708,0.7332,8.69,-0.0566,-0.1746,-0.2075,-0.2217,0.0707,0.3076,0.3103,-0.7264,-0.3217,-0.7388,-0.2929,7.3808
