ticker_full,stage
ABRA.TO,Explorer
ARA.TO,Explorer
AEM.TO,Producer
AGI.TO,Producer
ALK.TO,Producer
AAUC.TO,Producer
AII.TO,Shell
ALS.TO,Royalty/Streamer
USA.TO,Producer
ARG.TO,Producer
APM.TO,Producer
ARIS.TO,Producer
AMC.TO,Explorer
ATX.TO,Explorer
AVL.TO,Explorer
ASM.TO,Producer
AYA.TO,Producer
BTO.TO,Producer
ABX.TO,Producer
BSX.TO,Explorer
BKI.TO,Explorer
BGAU.TO,Explorer
BNKR.TO,Explorer
CCO.TO,Producer
CCM.TO,Explorer
CS.TO,Producer
CG.TO,Producer
CNT.TO,Producer
CIA.TO,Producer
CGG.TO,Producer
CLCH.TO,Producer
CDE.TO,Producer
CNL.TO,Explorer
CTGO.TO,Explorer
COPR.TO,Explorer
DML.TO,Producer
DSV.TO,Producer
DPM.TO,Producer
DNG.TO,Producer
ELR.TO,Producer
ECOR.TO,Royalty/Streamer
ELD.TO,Producer
ELE.TO,Royalty/Streamer
ELO.TO,Explorer
EDV.TO,Producer
EDR.TO,Producer
EFR.TO,Producer
ETG.TO,Explorer
EQX.TO,Producer
ERD.TO,Explorer
ERO.TO,Producer
ESM.TO,Explorer
FDY.TO,Explorer
FFM.TO,Explorer
AG.TO,Producer
FF.TO,Explorer
FM.TO,Producer
FSY.TO,Explorer
FVI.TO,Producer
FT.TO,Explorer
FNV.TO,Royalty/Streamer
FVL.TO,Explorer
FURY.TO,Explorer
FMR.TO,Explorer
GMIN.TO,Producer
GTWO.TO,Shell
GAU.TO,Producer
GENM.TO,Explorer
GLO.TO,Producer
GMX.TO,Royalty/Streamer
GGD.TO,Producer
GRC.TO,Explorer
AUMN.TO,Explorer
GOLD.TO,Explorer
MOLY.TO,Explorer
GCU.TO,Producer
HMMC.TO,Explorer
HSLV.TO,Explorer
HBM.TO,Producer
IAU.TO,Producer
IMG.TO,Producer
III.TO,Producer
ITH.TO,Explorer
ISO.TO,Explorer
IE.TO,Producer
IVN.TO,Producer
JAG.TO,Producer
KNT.TO,Producer
KRN.TO,Explorer
K.TO,Producer
LIF.TO,Royalty/Streamer
LAM.TO,Explorer
LGO.TO,Producer
LGD.TO,Explorer
LAC.TO,Explorer
LAR.TO,Explorer
LUC.TO,Producer
LMCU.TO,Explorer
LUG.TO,Producer
LUN.TO,Producer
LUNR.TO,Royalty/Streamer
NICU.TO,Producer
MARI.TO,Explorer
MUX.TO,Producer
MGA.TO,Explorer
MNO.TO,Explorer
MSV.TO,Explorer
MSA.TO,Producer
MAU.TO,Explorer
MPVD.TO,Shell
NUAG.TO,Explorer
NXE.TO,Explorer
NEXT.TO,Explorer
NGEX.TO,Explorer
NCF.TO,Explorer
NDM.TO,Explorer
NOU.TO,Explorer
NG.TO,Explorer
NVO.TO,Explorer
NTR.TO,Producer
OGC.TO,Producer
OR.TO,Royalty/Streamer
ORE.TO,Producer
OLA.TO,Producer
ORV.TO,Producer
OM.TO,Explorer
OCG.TO,Explorer
PDN.TO,Producer
PAAS.TO,Producer
PPTA.TO,Explorer
PRU.TO,Producer
PTM.TO,Explorer
PMET.TO,Explorer
PDI.TO,Explorer
RIO.TO,Explorer
RM.TO,Explorer
RTG.TO,Explorer
RUA.TO,Explorer
SEA.TO,Explorer
SBI.TO,Producer
S.TO,Producer
SVB.TO,Explorer
ELEF.TO,Explorer
AGMR.TO,Explorer
SLVR.TO,Explorer
SVM.TO,Producer
SKE.TO,Explorer
SGD.TO,Explorer
SLS.TO,Explorer
SLR.TO,Explorer
SXGC.TO,Explorer
SSRM.TO,Producer
SAU.TO,Explorer
DIAM.TO,Explorer
SAM.TO,Producer
STGO.TO,Producer
STLR.TO,Explorer
TSK.TO,Producer
TLO.TO,Explorer
TECK.TO,Producer
TI.TO,Producer
TXG.TO,Producer
TKO.TO,Producer
TMQ.TO,Explorer
TFPM.TO,Royalty/Streamer
TLG.TO,Explorer
TRX.TO,Producer
URC.TO,Shell
URE.TO,Producer
VGC.TO,Explorer
NPK.TO,Producer
VMET.TO,Royalty/Streamer
VGZ.TO,Explorer
VZLA.TO,Explorer
VOXR.TO,Royalty/Streamer
WM.TO,Explorer
WDO.TO,Producer
WRN.TO,Explorer
WRX.TO,Explorer
WGX.TO,Producer
WPM.TO,Royalty/Streamer
XTG.TO,Explorer
YRB.TO,Explorer
EFF.V,Explorer
AUMB.V,Explorer
AIS.V,Explorer
AUAU.V,Explorer
AME.V,Explorer
ABA.V,Explorer
ABI.V,Explorer
ABM.V,Explorer
ABC.V,Explorer
ACDC.V,Explorer
ADZ.V,Explorer
ADE.V,Explorer
ADY.V,Explorer
AEF.V,Explorer
ALTN.V,Explorer
AAG.V,Explorer
AML.V,Explorer
AEMC.V,Explorer
WAM.V,Explorer
ALDE.V,Explorer
ALGR.V,Shell
ALM.V,Explorer
AMM.V,Explorer
DEX.V,Royalty/Streamer
AORO.V,Explorer
ALEX.V,Explorer
AFM.V,Producer
AVX.V,Unknown
ALTA.V,Explorer
APN.V,Explorer
ALT.V,Explorer
AHR.V,Explorer
AE.V,Explorer
LI.V,Explorer
TUNG.V,Explorer
AMCO.V,Explorer
AMX.V,Explorer
ANDC.V,Explorer
AEC.V,Explorer
AWM.V,Explorer
ANK.V,Explorer
ANOR.V,Explorer
ANTL.V,Explorer
APX.V,Explorer
APMI.V,Explorer
APGO.V,Explorer
ABR.V,Explorer
ACS.V,Explorer
ADD.V,Explorer
ADG.V,Shell
AWX.V,Explorer
AGAG.V,Explorer
LIT.V,Explorer
VLLC.V,Explorer
ASL.V,Explorer
DAN.V,Explorer
AZEM.V,Explorer
AZS.V,Explorer
ARK.V,Explorer
ARTG.V,Producer
