ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
AEM.TO,AGN0001,Agnico Eagle Mines Limited,TSX,111855278192.32,,,,,,
ABX.TO,BAR0007,Barrick Mining Corporation,TSX,86745601490.1,,,,,,
WPM.TO,CHA0006,Wheaton Precious Metals Corp.,TSX,72452468002.86,,,,,,
CCO.TO,CAM0009,Cameco Corporation,TSX,62960647299.68,,,,,,
FNV.TO,FRA0009,Franco-Nevada Corporation,TSX,57071766585.9,,,,,,
NTR.TO,NUT0003,Nutrien Ltd.,TSX,42823880653.0,,,,,,
TECK.TO,TEC0009,Teck Resources Limited,TSX,41424074414.63,,,,,,
K.TO,KIN0008,Kinross Gold Corporation,TSX,39928728588.94,,,,,,
FM.TO,FIR0023,First Quantum Minerals Ltd.,TSX,32317145708.64,,,,,,
LUN.TO,LUN0002,Lundin Mining Corporation,TSX,29561895025.92,,,,,,
PAAS.TO,PAN0002,Pan American Silver Corp.,TSX,26697449270.8,,,,,,
LUG.TO,LUN0005,Lundin Gold Inc.,TSX,18502105653.29,,,,,,
AGI.TO,ALA0001,Alamos Gold Inc.,TSX,18026193873.0,,,,,,
EDV.TO,END0004,Endeavour Mining plc,TSX,17196532153.32,,,,,,
IVN.TO,IVA0003,Ivanhoe Mines Ltd.,TSX,15846995964.14,,,,,,
CDE.TO,X-1466,"Coeur Mining, Inc.",TSX,14883821324.9,,,,,,
HBM.TO,HUD0003,HudBay Minerals Inc.,TSX,14873574948.65,,,,,,
IMG.TO,IAM0001,IAMGold Corporation,TSX,13011594749.45,,,,,,
AG.TO,FIR0059,First Majestic Silver Corp.,TSX,11872122499.44,,,,,,
ELD.TO,ELD0001,Eldorado Gold Corporation,TSX,11532705646.1,,,,,,
EQX.TO,V-02583,Equinox Gold Corp.,TSX,10906127102.84,,,,,,
DPM.TO,DUN0006,DPM Metals Inc.,TSX,10160951933.02,,,,,,
CS.TO,CAP0012,Capstone Copper Corp.,TSX,9952201968.06,,,,,,
GMIN.TO,V-04606,G Mining Ventures Corp.,TSX,9876409065.91,,,,,,
NXE.TO,NEX0009,NexGen Energy Ltd.,TSX,8914824265.32,,,,,,
CGG.TO,JIN0001,China Gold International Resources Corp. Ltd.,TSX,8911381167.44,,,,,,
TFPM.TO,TRI0058,Triple Flag Precious Metals Corp.,TSX,8778600220.88,,,,,,
OR.TO,OSI0003,OR Royalties Inc.,TSX,8421494682.15,,,,,,
SSRM.TO,SIL0006,SSR Mining Inc.,TSX,8321089767.3,,,,,,
OGC.TO,OCE0003,OceanaGold Corporation,TSX,7913981842.65,,,,,,
ARTG.V,V-04601,Artemis Gold Inc.,TSXV,7273954873.59,,,,,,
BTO.TO,BTW0001,B2Gold Corp.,TSX,7058009249.76,,,,,,
DSV.TO,V-02131,Discovery Silver Corp.,TSX,6891556105.44,,,,,,
AII.TO,ALM0005,Almonty Industries Inc.,TSX,6696690360.12,,,,,,
MAU.TO,V-04671,Montage Gold Corp.,TSX,6504456550.43,,,,,,
PRU.TO,PER0013,Perseus Mining Limited,TSX,6404680457.02,,,,,,
NGEX.TO,V-04593,NGEx Minerals Ltd.,TSX,5503875836.4,,,,,,
KNT.TO,V-03719,K92 Mining Inc.,TSX,5460171516.24,,,,,,
TXG.TO,GLE0009,Torex Gold Resources Inc.,TSX,5269405013.85,,,,,,
EFR.TO,ENE0020,Energy Fuels Inc.,TSX,5148349672.2,,,,,,
OLA.TO,ORL0003,Orla Mining Ltd.,TSX,4798908998.39,,,,,,
SKE.TO,V-01797,Skeena Resources Limited,TSX,4705808184.0,,,,,,
CG.TO,CEN0015,Centerra Gold Inc.,TSX,4451938658.31,,,,,,
AAUC.TO,ALL0026,Allied Gold Corporation,TSX,4432019234.1,,,,,,
WGX.TO,WES0069,Westgold Resources Limited,TSX,4369960816.0,,,,,,
ARIS.TO,GRA0022,Aris Mining Corporation,TSX,4365734206.95,,,,,,
PDN.TO,X-1030,Paladin Energy Ltd.,TSX,4237449910.03,,,,,,
ERO.TO,ERO0001,Ero Copper Corp.,TSX,3949006648.16,,,,,,
SEA.TO,SEA0011,Seabridge Gold Inc.,TSX,3938999567.4,,,,,,
DML.TO,DEN0006,Denison Mines Corp.,TSX,3936870181.8,,,,,,
AYA.TO,MAY0003,Aya Gold & Silver Inc.,TSX,3850374258.14,,,,,,
NG.TO,NOV0006,Novagold Resources Inc.,TSX,3720859606.72,,,,,,
PPTA.TO,MID0012,Perpetua Resources Corp.,TSX,3682820440.32,,,,,,
FVI.TO,FOR0023,Fortuna Mining Corp.,TSX,3590387359.13,,,,,,
WDO.TO,RIV0002,Wesdome Gold Mines Ltd.,TSX,3588827233.7,,,,,,
TKO.TO,TAS0002,Trekor Metals Limited,TSX,3576568660.26,,,,,,
ALS.TO,ALT0013,Altius Minerals Corporation,TSX,3540698682.56,,,,,,
EDR.TO,END0005,Endeavour Silver Corp.,TSX,3485596977.83,,,,,,
PDI.TO,X-1500,Predictive Discovery Limited,TSX,3226607649.04,,,,,,
SVM.TO,SIL0011,Silvercorp Metals Inc.,TSX,3176245822.6,,,,,,
GTWO.TO,V-03674,G2 Goldfields Inc.,TSX,2433843775.77,,,,,,
SXGC.TO,MAW0001,Southern Cross Gold Consolidated Ltd.,TSX,2364866449.28,,,,,,
ABRA.TO,V-01325,AbraSilver Resource Corp.,TSX,2303393480.55,,,,,,
LUNR.TO,V-5087,LunR Royalties Corp.,TSX,2284822247.4,,,,,,
